Type,Target,Repository,Result,Ground Truth
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,0,FALSE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
o,O0,O1,0,FALSE
o,O0,O1,1,TRUE
